観光地名,市町村,住所１（地番まで),説明,電話番号,営業時間,定休日,料金,ホームページURL
清久さくら通り,久喜市,清久町,久喜市の桜の名所の一つです。久喜市の西、主要道川越・栗橋線から備前前堀川に沿って清久工業団地に至るまでの通りが清久さくら通りです。昭和５５年に完成した清久工業団地の造成にともない植えられたもので、約７００ｍのさくら並木は圧巻です。恒例のさくら祭りは４月上旬に開催されます。,0480-22-1111（久喜市役所）,常時,なし,無料,http://kuki.jpn.org/main/kankoukyoukai/cn3/2010sakura.html
こだま千本桜,本庄市,児玉町地内（小山川河畔）,児玉町を流れる小山川河畔両側に約１，１００本の桜が５ｋｍに渡り美しく咲き誇る、本庄市内でも有名なお花見スポットです。季節になるとお花見客で非常に賑わいます。また、４月上旬には「こだま千本桜まつり」が開催され、郷土芸能や模擬店の出店など様々なイベントが開催されます。,0495-72-1331（本庄市観光協会児玉支部）,常時開放,なし,無料,http://www.honjo-kanko.jp/maturi_kodama_sakura.htm
唐沢堤,深谷市,西島町,唐沢堤の両岸に植えられたソメイヨシノは３月下旬より彩り始め、４月上旬から中旬に見頃を迎えます。約３ｋｍにも及ぶ桜並木では、３００本の桜が季節に見事に花咲きます。毎年、「深谷桜まつり」が開催され、期間中は唐沢堤や下台池公園のライトアップも楽しめます。,048-575-0015（深谷市観光協会）,常時開放,なし,無料,http://www.fukaya-ta.com/matsuri/sakuramatsuri/
東川桜並木,所沢市,西新井町,東京オリンピックを記念し、西新井町から牛沼に至る全長約２ｋｍの両岸に約１８０本が植樹された。現在では松郷まで約３ｋｍ、約４００本の桜並木となっており、見頃の時期にはライトアップされた夜桜も楽しめます。見頃は３月下旬から中旬です。,04-2998-9155（所沢市役所商工労政課）,常時開放,なし,無料,http://www.tokoro-kankou.jp/blog/046.html
都幾川桜堤,嵐山町,大蔵,都幾川右岸の学校橋から二瀬橋の間、約２ｋｍにわたり植樹された２５２本のソメイヨシノの道です。見頃の時期になると、「嵐山さくらまつり」が開催され、多くの観光客で賑わいます。一部夜間のライトアップもあります。桜の見頃は３月下旬から４月上旬です。学校橋付近では、菜の花畑が満開で、桜とのコントラストが見事です。,0493-62-2150（嵐山町役場）,常時開放,なし,無料,http://
見沼元圦公園,行田市,須加3792,見沼代用水の入口にある公園です。アスレチック遊具やはにわ像などが設置されています。また、展望台も併設されており、ここから見沼代用水を眺めることが出来ます。また、歩行者・自転車道として整備されている緑のヘルシーロードの起点でもあります。,048-556-1111（行田市役所）,＊＊＊,＊＊＊,＊＊＊,＊＊＊
三ツ和公園,川口市,南鳩ヶ谷1-8-1,１００本余りの桜の木が植樹されており、３月下旬から４月上旬は花見で賑わいをみせます。また、公園入口付近には、御衣黄（ギョイコウ）という珍しい緑の桜（１本）があります。ギョイコウの開花は４月中旬から下旬頃です。,048-258-1110(2431)（川口市商工課）　,常時開放,なし,無料,＊＊＊
笛吹峠桜並木,嵐山町,将軍沢,「都幾川桜堤」と並ぶ嵐山の桜の名所の一つです。鳩山町と嵐山町の境目に位置する笛吹峠は、３月下旬から４月上旬になると満開の桜が一面に広がります。また、笛吹峠は南北朝時代に合戦が行われた場所としても知られ、町の史跡に指定されています。,0493-62-2150（嵐山町役場）,常時開放,なし,無料,http://
新河岸川の桜,川越市,新河岸川沿い,川越市氷川神社の裏手の新河岸川に沿った川越でも有数の桜の名所です。桜の見頃は４月初旬から中旬にかけてで、毎年、春一日限りで、花見舟が運行され川舟に乗って川面に映える桜を眺めながら下りもできる「新河岸川桜まつり」も開催されています。また、新河岸川では年に数回観光舟運が行われています。,049-222-5556（川越市川越駅観光案内所）,常時,なし,無料,＊＊＊
葛西用水路沿い桜並木,羽生市,葛西用水路沿い,市街地の中心部を葛西用水路沿い約３００ｍにさくらが咲き誇り、桜花のトンネルの散歩を楽しめます。期間中夜間ライトアップされ、花見客で賑わいます。また、羽生葛西堤さくらまつり（３月下旬～４月上旬）が開催され、地元町内会によるお囃子の実演のほか、物産販売等が開催されます。,048-560-3111（羽生市観光協会）,常時,なし,無料,＊＊＊
鴻巣公園,鴻巣市,本町8-2,四季折々の花で知られている公園で、桜の季節の４月上旬には桜まつりが行われ、数々の催し物や歌謡大会が開催されます。５月にはツツジ、サツキも咲き乱れ、花の名所として多くの観光客でにぎわいをみせています。また、公園の目の前には、徳川家康にゆかりのある勝願寺があります。,048-542-1169（鴻巣市観光協会）,常時開放,なし,無料,http://www.konosu-kanko.jp/
そうか公園,草加市,柿木町272-1,東京ドームの約４倍の広さがある草加市を代表する公園です。緑が多く、四季折々の樹木や草花、野鳥や昆虫を観察できる自然の宝庫となっています。同公園西側の八条用水沿いには桜並木があり、市内の桜の名所の一つにもなっています。,048-931-9833（草加市役所/みどりの協会）,常時,なし,無料,http://www.city.soka.saitama.jp/hp/menu000004700/hpg000004634.htm
沼辺公園,吉川市,大字平沼1729,市内でも有数の花見のメッカとも言える公園で、春先になると、およそ１００本の桜の木が満開に花を咲かせます。また、小さな子供向けのジャブジャブ池や木製複合遊具、長さ１５ｍのターザンロープ、高さ１０ｍほどのザイルクライミングなどがあり充分に楽しめます。,048-982-9901（吉川市/道路公園課）,＊＊＊,＊＊＊,無料,http://www.city.yoshikawa.saitama.jp/11，989，24，369.html
秩父札所　29番　長泉院,秩父市,荒川上田野557,秩父札所の２９番である長泉院の参道入口には、大きな枝垂れ桜があり「よみがえりの一本桜」で知られています。また、境内には四季折々の花があふれ、奥には数多くの竹林の侘びが静けさを保ち、参拝者の目を楽しませています。また、葛飾北斎の描いた「桜花の図」、更には洛東山の香炉、地獄極楽の絵草紙、徳川将軍の奉納品などが保存されています。,0494-54-2114（秩父市役所荒川総合支所）,８：００～１７：００,なし,無料,http://www.fudasyo.com/meguri/n_index.html
中院,川越市,小仙波町5-15-1,東照宮の南に位置し、北院・中院・南院の中心であっただけに、趣のある静かな境内です。本堂前にはみごとな「しだれ桜」あります。ここは島崎藤村の義母、加藤みきの墓があり、藤村が義母に贈った茶室「不染亭」が移築され、藤村書の「不染の碑」があります。市の文化財に指定されています。,049-222-5556（川越観光協会）,常時開放,なし,無料,http://www.kawagoe.com/nakain/
金仙寺,所沢市,堀之内343,別所山・西光院金仙寺と称し、真言宗豊山派で長谷寺を総本山とします。今から１１００年前に空海作といわれる「阿弥陀如来像」を本尊として開山しました。四季折々咲く花々「花のお寺・金仙寺」として名高く、とりわけ境内の「しだれ桜」は樹齢百数十年の名木です。また、所沢市の指定樹木になっています。　,04-2948-1915,日中,なし,無料,http://www.tokoro-kankou.jp/blog/048.html
